year,GDP Growth (%),Inflation (%),Unemployment Rate (%),Trade (% of GDP),Government Debt (% of GDP),country
2024,6.49476552383821,4.95303550973656,4.173,44.6492935069676,,India
2023,9.19075493028345,5.64914318907925,4.172,44.9928422877561,,India
2022,7.60936497768895,6.69903414079852,4.822,50.0752701498882,,India
2021,9.68959249192875,5.13140747176369,6.38,45.4230887840446,,India
2020,-5.77772470686801,6.62343677628535,7.859,37.7581053292768,,India
2019,3.87143694070356,3.72950573539129,6.51,39.9054035306442,,India
2018,6.45385134497769,3.9388264669163,7.652,43.6169693323889,46.5224986659322,India
2017,6.79538341897911,3.32817337461298,7.626,40.7424969545225,47.5836093800197,India
2016,8.25630550179086,4.94821634062141,7.611,40.082485713276,47.6337555915272,India
2015,7.99625378571471,4.90697344127256,7.629,41.9229138658647,49.9647183856551,India
2014,7.41022760508854,6.66565671867899,7.656,48.9221857470669,49.9009248748319,India
2013,6.38610640094825,10.0178784746102,7.678,53.8441319466777,50.3118273627008,India
2012,5.45638755166587,9.47899691419801,7.645,55.7937217287511,50.6780305618952,India
2011,5.24131619937695,8.91179336483371,7.609,55.6238800135298,51.5565536600977,India
2010,8.49758470221235,11.9893899204244,7.631,49.2552064974161,51.5919103003897,India
2009,7.86188883286074,10.8823529411764,7.636,46.2728696428837,55.2564461117969,India
2008,3.08669805921981,8.34926704907581,7.629,53.3682204392226,57.2922142809949,India
2007,7.6608150670107,6.37288135593231,7.562,45.686268679348,57.4975363892468,India
2006,8.06073257166651,5.79652337561634,7.553,45.7244804992652,59.6667302762217,India
2005,7.92343062148318,4.24634362031922,7.551,42.0016696148691,62.2265261001737,India
2004,7.92293661199932,3.76725173477515,7.598,37.503814059447,62.5929767433885,India
2003,7.8603814759073,3.80585899528851,7.633,30.592436132908,62.1900538960464,India
2002,3.80397532112175,4.29715203929563,7.681,29.5086629350614,62.5527712945573,India
2001,4.82396626555771,3.77929312235637,7.611,25.9932547534365,59.0179097968845,India
2000,3.84099115659129,4.0094359104519,7.589,26.9009229104474,55.0042464964554,India
2024,3.41931516597739,4.36746407652336,6.801,35.5845239385389,81.8554431189056,Brazil
2023,3.24165532813583,4.59356282283203,7.947,33.6662298301284,83.0317498523499,Brazil
2022,3.01669435408112,9.28010608956872,9.231,38.8160659764321,79.1023218880378,Brazil
2021,4.7626043797061,8.30165975585673,13.158,37.6563307592575,85.011503676948,Brazil
2020,-3.27675879612903,3.21176803803376,13.697,32.3020785443492,98.7098819471851,Brazil
2019,1.22077782271943,3.73297621216893,11.936,28.8902578697354,92.5652531951269,Brazil
2018,1.78366676137003,3.66485028376728,12.329,28.876203376153,86.6078841212333,Brazil
2017,1.32286905390815,3.44637335032669,12.792,24.3197343741684,83.6692026491606,Brazil
2016,-3.2759169063211,8.73914352329393,11.58,24.5336820770756,73.4188038019563,Brazil
2015,-3.54576339347278,9.02990102416136,8.538,26.9536259372369,67.5375540307946,Brazil
2014,0.503955740273241,6.32904015516138,6.755,24.685405813292,58.4572711057739,Brazil
2013,3.0048226702888,6.204310666401,7.071,25.7859573281452,57.2284093842608,Brazil
2012,1.92117598509462,5.40349914036997,7.251,25.1142736103322,59.8494900003683,Brazil
2011,3.97442307944702,6.6364496221309,7.578,23.9344051765103,59.3416583034432,Brazil
2010,7.52822581812151,5.03872690108074,8.42,22.7721781132208,61.3187804637225,Brazil
2009,-0.12581200299141,4.88803479876798,9.419,22.1059756060711,,Brazil
2008,5.09419544811998,5.67859390284168,8.268,27.2575694165953,,Brazil
